long_name,ticker_name,EBIT_2021,EBIT_2020,EBIT_2019,EBIT_2018,EBIT_average,enterprise_value,return_on_equity
2020 Bulkers Ltd.,2020.OL,80000000.0,21600000.0,900000.0,-800000.0,25425000.0,1992082944,0.43475
ABG Sundal Collier Holding ASA,ABG.OL,0.0,0.0,0.0,0.0,0.0,2210405120,0.39569
Adevinta ASA,ADE.OL,199000000.0,116000000.0,154200000.0,124500000.0,148425000.0,90886152192,0.01064
AF Gruppen ASA,AFG.OL,1412000000.0,1177000000.0,1085000000.0,935000000.0,1152250000.0,17012980736,0.40743
Akastor ASA,AKAST.OL,-76000000.0,-234000000.0,236000000.0,86000000.0,3000000.0,4662742016,-0.01492
Aker ASA,AKER.OL,-781000000.0,-980000000.0,-119000000.0,2300000000.0,105000000.0,89908224000,0.34974
Aker BioMarine AS,AKBM.OL,-6929000.0,8717000.0,9300000.0,11159000.0,5561750.0,3869900032,0.00366
Aker BP ASA,AKRBP.OL,3421719000.0,742860000.0,1352326000.0,1834020000.0,1837731250.0,230556467200,0.27504998
Aker Carbon Capture ASA,ACC.OL,-195189000.0,-89164000.0,-142176500.0,5979166720,,,
Aker Horizons ASA,AKH.OL,-1424000000.0,-1164000000.0,-8696000.0,-4669000.0,-650341250.0,27053979648,
Aker Solutions ASA,AKSO.OL,612000000.0,-609000000.0,1254000000.0,1103000000.0,590000000.0,20363251712,0.0937
AKVA group ASA,AKVA.OL,68236000.0,144113000.0,36090000.0,129866000.0,94576250.0,2749188096,-0.08123
AMSC ASA,AMSC.OL,49206000.0,51007000.0,50819000.0,50364000.0,50349000.0,3178611200,0.118669994
Archer Limited,ARCH.OL,39300000.0,51200000.0,53500000.0,33000000.0,44250000.0,1115146112,-0.30627
ArcticZymes Technologies ASA,AZT.OL,58433000.0,42793000.0,-409000.0,-13506000.0,21827750.0,3038298880,0.1873
Arendals Fossekompani ASA,AFK.OL,457835000.0,177400000.0,271756000.0,304323000.0,302828500.0,13032810496,0.028570002
Arribatec Solutions ASA,ARR.OL,-49771000.0,4322000.0,4748082.0,-13566972.666666666,278149760,-0.24197,
Asetek A/S,ASTK.OL,1778000.0,10928000.0,295000.0,4419000.0,4355000.0,325128000,-0.057930004
Atea ASA,ATEA.OL,1043000000.0,861000000.0,746000000.0,690000000.0,835000000.0,15140798464,0.22983
Atlantic Sapphire ASA,ASA.OL,-97539000.0,-46595000.0,-13468000.0,-8927000.0,-41632250.0,740749248,-0.32895002
Aurskog Sparebank,AURG.OL,0.0,0.0,0.0,0.0,0.0,4561744384,0.08951
Austevoll Seafood ASA,AUSS.OL,4344746000.0,1190000000.0,2587000000.0,4863000000.0,3246186500.0,35591426048,0.1675
AutoStore Holdings Ltd.,AUTO.OL,-3600000.0,32700000.0,53314295.0,27471431.666666668,64841908224,,
Avance Gas Holding Ltd,AGAS.OL,47220000.0,53483000.0,85378000.0,-15705000.0,42594000.0,4800793088,0.07184
Awilco Drilling PLC,AWDR.OL,-13144000.0,-22745000.0,-7382000.0,6725000.0,-9136500.0,193490768,-1.36125
Axactor ASA,ACR.OL,15671000.0,21238000.0,82025000.0,40297000.0,39807750.0,2990444032,-0.093310006
B2Holding ASA,B2H.OL,0.0,0.0,0.0,0.0,0.0,12482499584,0.08123
P/F Bakkafrost,BAKKA.OL,1114611000.0,685934000.0,1006283000.0,1175742000.0,995642500.0,30958919680,0.14003
Belships ASA,BELCO.OL,131173000.0,-5187000.0,11038000.0,9724000.0,36687000.0,3907709440,0.78879
BerGenBio ASA,BGBIO.OL,-314463000.0,-261091000.0,-204375000.0,-194539000.0,-243617000.0,358388704,-0.82394
BEWi ASA,BEWI.OL,62200000.0,29500000.0,23100000.0,96800000.0,52900000.0,8017054208,0.20898001
Bonheur ASA,BONHR.OL,998400000.0,-505692000.0,512516000.0,451986000.0,364302500.0,18505431040,0.24234
Borgestad ASA,BOR.OL,43320000.0,-10409000.0,28664000.0,23315000.0,21222500.0,872451968,-0.049099997
Borr Drilling Limited,BORR.OL,-89500000.0,-129900000.0,-145800000.0,-157600000.0,-130700000.0,8952476672,-0.35161
Borregaard ASA,BRG.OL,952000000.0,685000000.0,591000000.0,579000000.0,701750000.0,15822436352,0.19229001
Bouvet ASA,BOUV.OL,340085000.0,314559000.0,232051000.0,191562000.0,269564250.0,5427538432,0.8841
BW Energy Limited,BWE.OL,98400000.0,2800000.0,117000000.0,13300000.0,57875000.0,6891390976,0.08448
BW LPG Limited,BWLPG.OL,154484000.0,251355000.0,271344000.0,3417000.0,170150000.0,12874389504,0.13524
BW Offshore Limited,BWO.OL,132900000.0,152100000.0,186800000.0,149200000.0,155250000.0,6146857984,0.01623
Byggma ASA,BMA.OL,238074000.0,193340000.0,72546000.0,64526000.0,142121500.0,2447131136,0.38782
Cadeler A/S,CADLR.OL,11134000.0,-35904000.0,-13645000.0,18547000.0,-4967000.0,5661380096,0.0332
Carasent ASA,CARA.OL,13596000.0,9190000.0,4481000.0,-2548000.0,6179750.0,710971520,0.039189998
Cloudberry Clean Energy ASA,CLOUD.OL,-62533000.0,-29554000.0,-2613000.0,-1756832.0,-24114208.0,2908000000,-0.028789999
